2,1735618323169941000,5007958,0,525916,38221167,5032075750,5082141917,830,0.1,3504,50.8936
5,1735618323171858000,4854917,0,455708,38467625,5033403084,5083437375,830,0.1,3504,50.8936
0,1735618323178949000,4875041,0,494708,39327459,5037171458,5088535250,830,0.1,3504,50.716003
3,1735618323193856000,4934750,0,514625,39127792,5052097167,5103004417,830,0.1,3504,50.8936
1,1735618323200587000,4961500,0,544208,41701583,5049170791,5102553291,830,0.1,3504,50.80481
6,1735618328182485000,6348583,0,377583,38781292,4839006666,4888308375,830,0.1,3504,51.3376
10,1735618328289043000,5195667,0,155708,11259167,4851510791,4873008375,830,0.1,3504,51.24881
9,1735618328290920000,5409000,0,461250,30265625,4847285833,4888186041,830,0.1,3504,51.426407
7,1735618333231369000,4151916,0,142791,5076521500,4811582166,9897650792,830,0.1,3504,51.870407
8,1735618333262262000,5954209,0,312417,5100108833,4821516875,9933514333,830,0.1,3504,51.7816
4,1735618338168236000,6043791,0,148666,10050874917,4850580458,14913620458,830,0.1,3504,51.959213
