0,1735655362352780000,474500,0,14875,3297666,2346702750,2352001375,89880160,1,3504,58.97441
1,1735655364816565000,465750,0,22459,3350375,2361141917,2366537959,89880160,1,3504,58.885605
2,1735655367253854000,472458,0,10291,3376458,2334930000,2340341750,89880162,1,3504,58.796814
3,1735655369828109000,464792,0,11125,3942208,2470403875,2476561375,89880153,1,3504,58.708008
4,1735655372215588000,458458,0,10417,4643208,2284736625,2291342791,89880162,1,3504,58.708008
5,1735655374661841000,463417,0,33583,3332084,2303780375,2309104333,89880153,1,3504,58.708008
6,1735655377034218000,469417,0,17209,3902750,2271519375,2277400417,89880150,1,3504,58.708008
7,1735655379480905000,467416,0,14000,3318959,2348949375,2354275542,89880163,1,3504,58.885605
8,1735655381970227000,780292,0,24917,3390792,2383588500,2389268708,89880163,1,3504,58.885605
9,1735655384459857000,467167,0,23708,3291542,2393648958,2398922417,89880163,1,3504,58.796814
10,1735655386938932000,462625,0,10250,3335583,2380458292,2385771958,89880162,1,3504,58.796814
